Close,Open,High,Low,Date,Volume,Daily return,Mean of daily returns,Daily return daviations,Square of deviations,Varianca of daily returns,Daily votality,Price Movement,Target
274.39,277.55,278.98,271,15/09/2023,133692313,-0.597739458,-0.04,0.56,0.308883106,10.8221356,3.289701446,-1.138533598,0
265.28,271.16,271.44,263.76,18/09/2023,101543305,-3.32009184,-0.04,3.28,10.76282405,10.87036153,3.297023132,-2.168461425,0
266.5,264.35,267.85,261.2,19/09/2023,103704040,0.459891435,-0.02,-0.48,0.234440568,10.8708571,3.297098284,0.81331568,1
262.59,267.04,273.93,262.46,20/09/2023,122514643,-1.467166979,-0.03,1.44,2.075403731,10.92009976,3.304557423,-1.666417016,0
255.7,257.85,260.86,254.21,21/09/2023,119951516,-2.623862295,-0.02,2.6,6.780930897,10.96123789,3.310776025,-0.833818111,0
244.88,257.4,257.79,244.48,22/09/2023,127524083,-4.231521314,-0.01,4.22,17.84090382,10.98077203,3.313724797,-4.864024864,0
246.99,243.38,247.1,238.31,25/09/2023,104636557,0.861646521,0.01,-0.85,0.721630113,10.94856484,3.308861562,1.48327718,1
244.12,242.98,249.55,241.66,26/09/2023,101993631,-1.161990364,0.01,1.17,1.369231639,10.9968051,3.316143106,0.469174418,1
240.5,244.26,245.33,234.58,27/09/2023,136597184,-1.482877273,0.01,1.5,2.239734702,11.04243341,3.32301571,-1.539343323,0
246.38,240.02,247.55,238.65,28/09/2023,117058870,2.444906445,0.02,-2.42,5.876177672,11.08435102,3.3293169,2.649779185,1
250.22,250,254.77,246.35,29/09/2023,128522729,1.558568066,0.01,-1.55,2.400463592,11.10927051,3.333057232,0.088,1
251.6,244.81,254.28,242.62,02/10/2023,123810402,0.551514667,0,-0.55,0.302212221,11.15113977,3.339332235,2.773579511,1
246.53,248.61,250.02,244.45,03/10/2023,101985305,-2.015103339,0,2.01,4.057098098,11.20355005,3.347170455,-0.836651784,0
261.16,248.14,261.86,247.6,04/10/2023,129721567,5.934369042,0.01,-5.93,35.11120243,11.23824157,3.352348664,5.247037962,1
260.05,260,263.6,256.25,05/10/2023,119159214,-0.425026803,-0.02,0.41,0.164041573,11.1217881,3.334934497,0.019230769,1
260.53,253.98,261.65,250.65,06/10/2023,118121812,0.184579888,-0.02,-0.2,0.041047099,11.17550254,3.342978095,2.578943224,1
259.67,255.31,261.36,252.05,09/10/2023,101377947,-0.330096342,-0.02,0.31,0.096769124,11.23035208,3.351171747,1.70772786,1
263.62,257.75,268.94,257.65,10/10/2023,122656030,1.521161474,-0.02,-1.54,2.367414494,11.28546882,3.359385185,2.277400582,1
262.99,266.2,268.6,260.9,11/10/2023,103706266,-0.238980351,-0.03,0.21,0.045730295,11.32983725,3.365982361,-1.205860255,0
258.87,262.92,265.41,256.63,12/10/2023,111508114,-1.56659949,-0.02,1.54,2.379413608,11.38625779,3.374352944,-1.540392515,0
251.12,258.9,259.6,250.22,13/10/2023,102296786,-2.993780662,-0.02,2.98,8.865312133,11.43151831,3.381052841,-3.005021244,0
253.92,250.05,255.4,248.48,16/10/2023,88917176,1.115004779,0,-1.12,1.246081762,11.44447895,3.382968955,1.547690462,1
254.85,250.1,257.18,247.08,17/10/2023,93562909,0.366257089,-0.01,-0.37,0.139277517,11.49624746,3.390611665,1.899240304,1
242.68,252.7,254.63,242.08,18/10/2023,125147846,-4.775358054,-0.01,4.77,22.71963697,11.55419119,3.399145655,-3.965176098,0
220.11,225.95,230.61,216.78,19/10/2023,170772713,-9.30031317,0.02,9.32,86.78619406,11.49693249,3.390712682,-2.58464262,0
211.99,217.01,218.86,210.42,20/10/2023,138010095,-3.689064559,0.06,3.75,14.08262481,11.10884351,3.332993176,-2.313257454,0
212.08,210,216.98,202.51,23/10/2023,150683368,0.042454833,0.08,0.04,0.001648921,11.09343532,3.330680909,0.99047619,1
216.52,216.5,222.05,214.11,24/10/2023,118231113,2.093549604,0.08,-2.01,4.041211081,11.15120504,3.339342007,0.009237875,1
212.42,215.88,220.1,212.2,25/10/2023,107065087,-1.893589507,0.07,1.97,3.866484085,11.18843014,3.344911081,-1.602742264,0
205.76,211.32,214.8,204.88,26/10/2023,115112635,-3.135297995,0.08,3.22,10.35806875,11.2269667,3.350666605,-2.631080825,0
207.3,210.6,212.41,205.77,27/10/2023,94881173,0.74844479,0.1,-0.65,0.420317357,11.23156404,3.351352569,-1.566951567,0
197.36,209.28,210.88,194.67,30/10/2023,136448167,-4.794983116,0.1,4.89,23.92834276,11.28907067,3.35992123,-5.695718654,0
200.84,196.12,202.8,194.07,31/10/2023,118068273,1.763275233,0.12,-1.64,2.691040785,11.22148098,3.349847904,2.406689782,1
205.66,204.04,205.99,197.85,01/11/2023,121661656,2.399920335,0.11,-2.29,5.225356512,11.26734356,3.356686397,0.793961968,1
218.51,212.97,219.2,211.45,02/11/2023,125987621,6.248176602,0.1,-6.15,37.77966357,11.30000295,3.361547702,2.601305348,1
219.96,221.15,226.37,218.4,03/11/2023,119534790,0.663585191,0.07,-0.6,0.354417744,11.15609176,3.340073615,-0.538096315,0
219.27,223.98,226.32,215,06/11/2023,117335820,-0.313693399,0.07,0.38,0.143410263,11.2151173,3.348897923,-2.102866327,0
222.18,219.98,223.12,215.72,07/11/2023,116900130,1.327130934,0.07,-1.26,1.587721249,11.27595085,3.357968262,1.000090917,1
222.11,223.15,224.15,217.64,08/11/2023,106584841,-0.031505986,0.06,0.09,0.008395547,11.32947698,3.365928844,-0.466054224,0
209.98,219.75,220.8,206.68,09/11/2023,142110454,-5.461257935,0.06,5.52,30.49124934,11.39237188,3.375258787,-4.44596132,0
214.65,210.03,215.38,205.69,10/11/2023,131310128,2.224021335,0.09,-2.13,4.547737638,11.28567424,3.359415759,2.199685759,1
223.71,215.6,225.4,211.61,13/11/2023,140447569,4.220824598,0.08,-4.14,17.15058409,11.32352782,3.365044995,3.761595547,1
237.41,235.03,238.14,230.72,14/11/2023,149771642,6.123999821,0.06,-6.07,36.81939724,11.29060659,3.360149787,1.012636685,1
242.84,239.29,246.7,236.45,15/11/2023,150353975,2.287182511,0.02,-2.27,5.132754427,11.14555665,3.338496165,1.483555518,1
233.59,239.49,240.88,230.96,16/11/2023,136816819,-3.809092407,0.01,3.82,14.5753721,11.17991552,3.343638066,-2.463568416,0
234.3,232,237.39,226.54,17/11/2023,142766234,0.303951368,0.03,-0.27,0.074710381,11.1604014,3.340718695,0.99137931,1
235.6,234.04,237.1,231.02,20/11/2023,116562402,0.554844217,0.03,-0.53,0.276470688,11.22448054,3.35029559,0.666552726,1
241.2,235.04,243.62,233.34,21/11/2023,122288000,2.376910017,0.03,-2.35,5.526860604,11.28813176,3.359781504,2.620830497,1
234.21,242.04,244.01,231.4,22/11/2023,118117078,-2.89800995,0.01,2.91,8.469521581,11.3218234,3.364791732,-3.235002479,0
235.45,233.75,238.75,232.33,24/11/2023,65125203,0.529439392,0.03,-0.5,0.250086018,11.33860165,3.367284016,0.727272727,1
236.08,236.89,238.33,232.1,27/11/2023,112031763,0.267572733,0.03,-0.24,0.05816704,11.40421417,3.37701261,-0.341930854,0
